sku,marca,nome_produto,categoria,peso_kg,comprimento,largura,altura,estoque_erp,status_produto
SKU-00057,Arno,Ar Condicionado Split 12000 BTUs,Climatização,21.3,188.4,136.6,122.4,61.0,Ativo
SKU-00058,Panasonic,"Tripé para Celular 1,30m",Celulares e Acessórios,41.28,14.2,77.3,52.7,317.0,Ativo
SKU-00059,Cadence,"Cadence Smart TV 55"" 4K",Eletrônicos,5.82,101.0,61.7,58.8,478.0,Ativo
SKU-00060,Asus,Asus Umidificador Ultrassônico 3L,Climatização,15.64,112.8,59.4,8.5,0.0,Ativo
SKU-00061,Philco,Lava-Louças 8 Serviços,Cozinha,3.12,56.3,55.4,52.6,384.0,Ativo
SKU-00062,Acer,Acer Lente Wide para Celular,Celulares e Acessórios,34.95,119.3,22.6,55.2,275.0,Ativo
SKU-00063,Stanley,Stanley Lava-Louças 8 Serviços,Cozinha,39.44,64.9,36.0,18.0,451.0,Inativo
SKU-00064,Mallory,Mallory Serra Sabre 900W,Ferramentas,43.76,82.2,63.9,20.5,80.0,Ativo
SKU-00065,Cadence,Cadence Tábua de Passar Compacta,Utilidades Domésticas,38.24,86.4,65.4,55.1,4.0,Ativo
SKU-00066,Panasonic,Panasonic Fone de Ouvido com Fio,Celulares e Acessórios,9.23,111.1,68.5,7.4,480.0,Inativo
SKU-00067,Ventisol,Ventisol Purificador de Água Compacto,Eletrodomésticos,39.33,256.3,182.4,98.6,380.0,Ativo
SKU-00068,Electrolux,Câmera de Segurança Wi-Fi,Eletrônicos,8.63,90.9,61.6,55.0,367.0,Ativo
SKU-00069,Mallory,Relógio de Parede Moderno,Climatização,12.81,79.6,28.1,22.9,463.0,Ativo
SKU-00070,Stanley,Stanley Processador Ryzen 5 5600G,Informática,16.74,69.7,21.6,10.5,216.0,Ativo
SKU-00071,Makita,Cooktop 4 Bocas Vitrocerâmica,Cozinha,14.91,100.8,42.4,40.0,,Ativo
SKU-00072,Targus,Targus Microfone Condensador USB,TV e Áudio,33.0,21.1,46.0,12.7,282.0,Ativo
SKU-00073,Arno,Arno Geladeira Duplex 340L,Eletrodomésticos,30.1,52.4,68.2,15.4,38.0,Ativo
SKU-00074,Mondial,Mondial Cesto de Palha Organizador,Decoração,30.04,60.6,41.6,2.4,189.0,Ativo
SKU-00075,Cadence,Geladeira Duplex 340L,Eletrodomésticos,0.87,82.5,65.5,54.8,460.0,Inativo
SKU-00076,Springer,Springer Ar Condicionado Portátil 12000 BTUs,Climatização,36.7,50.6,33.0,25.5,341.0,Ativo
SKU-00077,Philips,"Philips Cortina Blackout 2,80x1,80m",Decoração,38.63,15.8,33.4,34.1,383.0,Ativo
SKU-00078,Logitech,Logitech Esmerilhadeira Angular 710W,Ferramentas,14.97,117.0,72.1,55.3,415.0,Ativo
SKU-00079,Arno,Arno Forno Elétrico 46L com Grill,Cozinha,12.69,80.7,18.5,51.3,170.0,
SKU-00080,Sony,Espremedor de Frutas Elétrico,Cozinha,13.54,70.2,68.7,41.3,,Ativo
SKU-00081,Genius,Tupia 450W,Ferramentas,15.63,31.7,10.7,37.1,19.0,Descontinuado
SKU-00082,Carrier,Carrier Dock Station de Carregamento,Celulares e Acessórios,44.67,45.9,75.6,27.0,179.0,Ativo
SKU-00083,Makita,Capa Protetora Silicone,Celulares e Acessórios,32.12,22.7,58.4,38.8,204.0,Ativo
SKU-00084,Dewalt,"Dewalt Smart TV 55"" 4K",Eletrônicos,34.28,15.0,37.3,34.3,260.0,Ativo
SKU-00085,Philips,Philips Processador de Alimentos 800W,Eletrodomésticos,35.32,6.4,36.0,47.2,496.0,Inativo
SKU-00086,Panasonic,Panasonic Capa de Almofada Geométrica,Decoração,12.17,21.8,17.5,18.0,305.0,Ativo
SKU-00087,Tramontina,Tramontina Hub USB 3.0 7 Portas,Informática,22.36,57.7,15.2,2.4,460.0,Ativo
SKU-00088,Esmaltec,"Air Fryer 3,5L Mecânica",Cozinha,19.43,79.9,49.6,19.4,223.0,Inativo
SKU-00089,Sony,Sony Nicho Decorativo 30x30cm,Decoração,13.19,61.5,48.2,16.1,481.0,Ativo
SKU-00090,Fischer,"Fischer Tripé para Celular 1,30m",Celulares e Acessórios,44.88,93.3,7.0,44.2,35.0,Ativo
SKU-00091,Arno,Home Theater 5.1 Canais,TV e Áudio,35.82,62.4,52.5,16.0,460.0,Ativo
SKU-00092,Ventisol,Ventisol Bastão de Selfie Bluetooth,Celulares e Acessórios,18.1,156.1,107.0,101.3,151.0,Descontinuado
SKU-00093,Philips,Philips Exaustor de Cozinha 30cm,Climatização,11.25,24.1,51.0,34.7,383.0,Ativo
SKU-00094,Logitech,Logitech Dock Station de Carregamento,Celulares e Acessórios,4.53,90.9,46.8,41.9,0.0,Ativo
SKU-00095,,Lente Wide para Celular,Celulares e Acessórios,6.87,60.5,27.2,55.4,164.0,Ativo
SKU-00096,Redragon,Redragon Jogo de Chaves Allen 10 Peças,Ferramentas,23.5,16.2,59.1,28.2,461.0,Ativo
SKU-00097,Elgin,Notebook Core i5 8GB SSD 256GB,Informática,36.02,90.2,43.7,34.0,145.0,Ativo
SKU-00098,Carrier,Caixa de Som Portátil 30W,Utilidades Domésticas,103.64,8.4,51.1,13.4,158.0,
SKU-00099,Bosch,Bosch Cooktop 4 Bocas Indução,Decoração,36.41,,,,23.0,Inativo
SKU-00100,Positivo,Positivo Ar Condicionado Janela 7500 BTUs,Climatização,11.88,65.7,52.9,36.6,212.0,Ativo
SKU-00101,Redragon,Redragon Hub USB 3.0 7 Portas,Informática,36.64,39.2,51.1,6.9,253.0,Ativo
SKU-00102,Brastemp,"Brastemp Cortina Blackout 2,80x1,80m",Decoração,23.04,20.9,33.8,12.8,217.0,Ativo
SKU-00103,Makita,Makita Furadeira de Bancada 350W,Ferramentas,14.22,11.2,31.9,2.6,25.0,Ativo
SKU-00104,Targus,Targus Fone de Ouvido com Fio,Celulares e Acessórios,22.18,56.0,17.5,34.8,271.0,Inativo
SKU-00105,Cadence,"Cadence Panela de Pressão 4,5L",Utilidades Domésticas,35.16,93.8,42.1,31.6,417.0,Ativo
SKU-00106,Britânia,Britânia Ventilador de Teto 3 Pás,Climatização,19.92,53.9,60.2,39.9,459.0,Ativo
SKU-00107,Philips,Philips Forno Elétrico 46L,Eletrodomésticos,44.73,32.2,65.8,36.1,126.0,Inativo
SKU-00108,Springer,Springer Coifa de Ilha 90cm,Cozinha,9.38,11.8,31.3,18.3,122.0,Ativo
SKU-00109,Genius,Genius Lixeira Inox com Pedal 12L,Utilidades Domésticas,30.6,115.7,63.9,55.3,146.0,Inativo
SKU-00110,Tramontina,Tupia 450W,Ferramentas,14.56,102.0,34.5,10.2,70.0,Ativo
SKU-00111,Carrier,Carrier Bastão de Selfie Bluetooth,Celulares e Acessórios,63.52,91.2,57.1,52.9,32.0,Descontinuado
SKU-00112,Philips,Philips Pen Drive 128GB USB 3.0,Eletrônicos,20.68,46.2,9.7,33.0,426.0,Descontinuado
SKU-00113,Makita,Makita Nicho Decorativo 30x30cm,Decoração,26.05,60.8,30.8,41.6,244.0,Ativo
SKU-00114,Dell,"Dell Smart TV LED 32""",TV e Áudio,0.13,28.3,56.6,9.7,456.0,Ativo
SKU-00115,Black+Decker,Black+Decker Frigideira 24cm Antiaderente,Utilidades Domésticas,,79.6,8.9,38.3,308.0,Ativo
SKU-00116,Samsung,Samsung Adesivo de Parede Floral,Decoração,0.0,20.3,22.0,41.4,,Ativo
SKU-00117,Logitech,"Smart TV 55"" 4K",Eletrônicos,21.55,15.3,65.4,8.0,84.0,Inativo
SKU-00118,Lenovo,Jogo de Soquetes 40 Peças,Ferramentas,30.5,,,,201.0,Ativo
SKU-00119,Acer,Acer Nível a Laser 10m,Ferramentas,89.09,84.0,69.5,7.0,219.0,Ativo
SKU-00120,Consul,SSD NVMe 1TB,Informática,14.22,36.9,11.3,34.1,167.0,Ativo
SKU-00121,Philco,Garrafa Térmica 1L,Utilidades Domésticas,29.66,64.5,43.2,45.4,0.0,Ativo
SKU-00122,Tramontina,Tramontina Nicho Decorativo 30x30cm,Decoração,26.77,117.4,79.0,56.2,240.0,Ativo
SKU-00123,Multilaser,,Cozinha,42.95,6.9,10.1,17.2,332.0,Inativo
SKU-00124,Genius,Genius Case à Prova d'Água,Celulares e Acessórios,19.12,78.7,45.3,10.9,102.0,Ativo
SKU-00125,HP,Ventilador de Mesa 30cm,Climatização,17.64,101.0,56.1,5.8,242.0,Ativo
SKU-00126,Logitech,Logitech Luminária de Parede Industrial,Decoração,27.59,,,,392.0,Ativo
SKU-00127,Lenovo,Lenovo Serra Circular 1500W,Ferramentas,7.46,65.1,63.7,43.8,398.0,Ativo
SKU-00128,Philco,Potes Herméticos 3 Peças,Utilidades Domésticas,19.38,35.2,78.1,38.4,475.0,Ativo
SKU-00129,Fischer,"Fischer Smart TV 43"" Full HD",Utilidades Domésticas,7.16,107.8,55.6,8.7,303.0,Ativo
SKU-00130,Fortrek,Fortrek Liquidificador Turbo 500W,Eletrodomésticos,41.42,115.4,7.7,48.6,435.0,Ativo
SKU-00131,Intelbras,Intelbras Fone de Ouvido Intra-auricular,Celulares e Acessórios,14.47,70.7,14.0,41.1,272.0,Ativo
SKU-00132,Arno,Ar Condicionado Split 12000 BTUs,Climatização,38.98,40.7,11.5,28.5,331.0,Ativo
SKU-00133,Tramontina,Torradeira 2 Fatias 6 Níveis,Cozinha,26.67,93.9,19.7,54.2,325.0,Inativo
SKU-00134,Philco,Furadeira de Impacto 650W,Ferramentas,15.65,105.9,76.3,2.1,267.0,Ativo
SKU-00135,Tramontina,Tramontina Assadeira Retangular 35cm,Utilidades Domésticas,43.26,21.4,26.0,4.5,247.0,Inativo
SKU-00136,Brastemp,Umidificador Ultrassônico 3L,Climatização,33.68,63.1,52.8,24.9,425.0,Ativo
SKU-00137,Tramontina,Cabo Micro USB Reforçado,Celulares e Acessórios,38.31,50.2,67.4,20.9,312.0,Ativo
SKU-00138,NKS,NKS Mouse Gamer 12000 DPI,Informática,4.84,41.1,14.1,22.8,435.0,Ativo
SKU-00139,LG,LG Vassoura e Rodo com Suporte,Utilidades Domésticas,,40.0,57.9,37.0,174.0,Inativo
SKU-00140,Tramontina,Tramontina Soundbar 2.1 120W,Eletrônicos,17.89,,,,5.0,Ativo
SKU-00141,HyperX,Furadeira de Impacto 650W,Ferramentas,24.8,16.7,64.5,9.0,368.0,Inativo
SKU-00142,Sony,Sony Quadro Decorativo 40x60cm,Decoração,28.4,72.0,24.4,49.1,364.0,Descontinuado
SKU-00143,Lenovo,Lenovo Castiçal de Metal 25cm,Decoração,,98.0,14.2,56.7,113.0,Ativo
SKU-00144,Sony,"Air Fryer 5,5L Digital",Cozinha,17.28,45.7,73.1,17.9,283.0,Inativo
SKU-00145,Tramontina,Tramontina Secadora de Roupas 10kg,Eletrodomésticos,22.5,60.1,11.6,24.2,359.0,
SKU-00146,Cadence,Cadence Ventilador de Mesa 40cm,Climatização,44.52,46.3,45.8,30.1,369.0,Ativo
SKU-00147,Philco,Philco Campainha Inteligente Wi-Fi,Eletrônicos,9.93,94.5,9.4,59.5,0.0,Ativo
SKU-00148,Samsung,Sanduicheira Grill 750W,Cozinha,10.93,96.0,60.3,46.3,141.0,Ativo
SKU-00149,Multilaser,"Tripé para Celular 1,30m",Celulares e Acessórios,26.7,85.2,73.5,3.6,99.0,Ativo
SKU-00150,Positivo,Positivo Cooktop 4 Bocas Vitrocerâmica,Cozinha,36.49,67.3,18.2,4.2,273.0,Ativo
SKU-00151,Electrolux,Electrolux Abajur de Mesa Moderno,Ferramentas,27.67,44.2,18.3,48.5,27.0,Ativo
SKU-00152,HP,HP Aspirador de Pó Vertical 1400W,Eletrodomésticos,38.11,115.5,33.0,56.6,,Ativo
SKU-00153,Dell,Dell Câmera de Segurança Wi-Fi,Eletrônicos,19.72,61.0,28.8,43.0,225.0,Ativo
SKU-00154,NKS,NKS Panela Elétrica Multifuncional 5L,Cozinha,17.09,38.9,18.3,2.1,58.0,Inativo
SKU-00155,Britânia,Dock Station de Carregamento,Celulares e Acessórios,14.39,75.3,53.0,8.0,27.0,Ativo
SKU-00156,Stanley,Stanley Mouse Sem Fio Ergonômico,Informática,39.85,86.5,52.9,53.4,0.0,Ativo
SKU-00157,Consul,Consul Porta-Retrato 10x15cm,Decoração,4.95,,,,316.0,Ativo
SKU-00158,Targus,Cabo USB-C Reforçado 2m,Celulares e Acessórios,15.87,100.3,64.2,35.5,440.0,Ativo
SKU-00159,Britânia,Britânia Nível a Laser 10m,Ferramentas,14.41,13.5,17.8,23.8,491.0,Ativo
SKU-00160,Springer,Springer Caixa de Som Bluetooth 20W,Informática,31.73,80.2,50.5,27.2,135.0,Ativo
SKU-00161,Mallory,Mallory Vaso de Vidro Transparente,Decoração,32.88,37.4,22.8,4.9,38.0,Ativo
SKU-00162,Electrolux,"Electrolux Smart TV LED 55""",TV e Áudio,13.33,74.0,20.0,3.5,149.0,Ativo
SKU-00163,Dewalt,Suporte para Monitor Articulado,Informática,21.25,35.5,53.1,24.5,359.0,Inativo
SKU-00164,Black+Decker,Black+Decker Home Theater 5.1 1000W,Eletrônicos,11.93,69.9,16.3,42.4,405.0,Ativo
SKU-00165,NKS,,Eletrônicos,2.84,248.7,152.6,129.1,278.0,Ativo
SKU-00166,Sony,Sony Nicho Decorativo 30x30cm,Decoração,32.17,281.0,120.2,114.0,423.0,Ativo
SKU-00167,Dell,Soundbar 2.0 80W,TV e Áudio,36.4,53.7,79.1,27.3,405.0,Ativo
SKU-00168,Arno,Arno Sanduicheira Waffle,Cozinha,,68.5,69.2,32.1,352.0,Inativo
SKU-00169,Intelbras,Intelbras Cooktop 4 Bocas Vitrocerâmica,Cozinha,6.82,72.0,77.4,7.8,224.0,Ativo
SKU-00170,Consul,Headset Gamer 7.1,Informática,11.96,70.8,40.5,12.0,221.0,Ativo
SKU-00171,Britânia,Britânia Depurador de Ar 80cm,Cozinha,39.57,10.7,40.6,17.6,117.0,Ativo
SKU-00172,Targus,Targus Lixeira Inox com Pedal 12L,Utilidades Domésticas,30.85,31.2,27.5,45.1,137.0,Inativo
SKU-00173,Elgin,Elgin Potes Herméticos 3 Peças,Utilidades Domésticas,,110.0,35.5,30.1,142.0,Inativo
SKU-00174,Arno,Geladeira Duplex 340L,Eletrodomésticos,22.86,102.9,70.9,3.7,240.0,Inativo
SKU-00175,Redragon,Redragon Luminária de Parede Industrial,Decoração,,27.9,32.6,28.9,210.0,Ativo
SKU-00176,Brastemp,Brastemp Placa de Vídeo GTX 1650 4GB,Informática,20.13,59.6,46.4,22.0,232.0,Inativo
SKU-00177,Mondial,Mondial Headset Gamer 7.1,Informática,25.79,103.6,53.6,41.3,496.0,Ativo
SKU-00178,Electrolux,Ar Condicionado Split 9000 BTUs,Climatização,6.04,97.1,21.8,37.3,277.0,Ativo
SKU-00179,Consul,"Varal de Chão 1,60m",Utilidades Domésticas,9.9,64.9,51.8,35.9,318.0,Ativo
SKU-00180,Ventisol,Ventisol Pen Drive 64GB USB 3.0,Eletrônicos,30.83,43.7,25.7,20.9,281.0,Ativo
SKU-00181,Tramontina,Tramontina Jogo de Pratos 6 Peças,Utilidades Domésticas,36.26,74.0,54.5,41.5,62.0,Ativo
SKU-00182,Intelbras,Intelbras Home Theater 5.1 Canais,TV e Áudio,33.18,119.4,66.2,21.9,81.0,Ativo
SKU-00183,Consul,Climatizador de Ar 45L,Climatização,38.06,105.8,18.6,7.7,467.0,Ativo
SKU-00184,Esmaltec,Termômetro Digital Higrômetro,Eletrônicos,10.08,105.2,36.5,53.4,477.0,Ativo
SKU-00185,Fortrek,Vassoura e Rodo com Suporte,Utilidades Domésticas,,71.7,51.5,29.4,0.0,Ativo
SKU-00186,Mondial,Mondial Case à Prova d'Água,Celulares e Acessórios,6.87,44.4,79.0,53.8,382.0,Ativo
SKU-00187,,Esmaltec Jogo de Chaves Combinadas 12 Peças,Ferramentas,8.04,5.5,25.5,46.1,174.0,Ativo
SKU-00188,,Martelete Rompedor 800W,Ferramentas,19.57,54.3,40.8,2.3,144.0,Ativo
SKU-00189,Oster,"Smart TV 32"" HD",Eletrônicos,30.49,33.6,57.0,22.0,76.0,Ativo
SKU-00190,Arno,Arno Circulador de Ar 40cm,Climatização,13.49,88.7,49.7,21.6,233.0,Ativo
SKU-00191,Targus,"Chave de Fenda Fenda 8""",Ferramentas,8.56,110.6,35.3,15.2,119.0,Descontinuado
SKU-00192,Genius,Genius Puff Redondo Suede,Decoração,16.56,9.3,70.7,16.8,381.0,Ativo
SKU-00193,Elgin,Elgin Batedeira 400W 8 Velocidades,Cozinha,2.27,56.1,14.3,16.7,0.0,Ativo
SKU-00194,Samsung,Samsung Cafeteira Elétrica 14 Xícaras,Celulares e Acessórios,12.22,20.8,67.3,8.1,51.0,Ativo
SKU-00195,,Assadeira Retangular 35cm,Utilidades Domésticas,9.07,65.2,20.1,42.8,466.0,Ativo
SKU-00196,Fortrek,Desumidificador 10L/dia,Climatização,0.22,109.3,67.6,40.8,240.0,Inativo
SKU-00197,Samsung,Ar Condicionado Split 18000 BTUs,Climatização,29.03,117.4,24.8,4.9,41.0,Ativo
SKU-00198,Stanley,Stanley Cafeteira Elétrica 14 Xícaras,Eletrodomésticos,102.23,107.4,5.7,10.0,367.0,Ativo
SKU-00199,Bosch,,Eletrônicos,4.27,26.0,35.1,57.8,120.0,Inativo
SKU-00200,Dell,Dell Antena UHF Interna Amplificada,TV e Áudio,31.36,,,,500.0,Inativo
SKU-00201,Fortrek,"Cabo USB-C 1,5m",Informática,30.56,48.7,31.9,3.7,85.0,Inativo
SKU-00202,LG,Martelete Rompedor 800W,Ferramentas,19.89,,,,407.0,Ativo
SKU-00203,Fischer,Termômetro Digital Higrômetro,Climatização,43.01,64.7,56.6,37.9,271.0,Ativo
SKU-00204,Elgin,Elgin Nicho Decorativo 30x30cm,Decoração,37.77,118.6,9.1,39.3,312.0,Ativo
SKU-00205,Arno,Suporte para TV Articulado,TV e Áudio,14.5,37.0,43.0,33.9,118.0,Ativo
SKU-00206,Fischer,Fischer Luminária de Teto Pendente,Decoração,38.56,18.7,42.3,39.9,411.0,Ativo
SKU-00207,Philips,Philips Freezer Horizontal 305L,Eletrodomésticos,43.35,107.4,47.2,40.0,483.0,Descontinuado
SKU-00208,Redragon,"Smart TV 43"" Full HD",Eletrônicos,34.56,87.4,32.2,28.2,353.0,Inativo
SKU-00209,Carrier,Carrier Abajur de Mesa Moderno,Decoração,13.21,85.7,8.4,11.5,247.0,Inativo
SKU-00210,Positivo,Positivo Película de Vidro Temperado,Celulares e Acessórios,41.87,164.8,157.1,138.5,358.0,Inativo
SKU-00211,NKS,"Lava e Seca 10,5kg",Eletrodomésticos,40.14,72.8,42.8,57.9,4.0,Ativo
SKU-00212,NKS,Freezer Horizontal 305L,Eletrodomésticos,22.92,25.4,48.4,44.4,462.0,Ativo
SKU-00213,Genius,Cooktop 5 Bocas a Gás,Cozinha,18.9,84.6,23.6,25.1,325.0,Descontinuado
SKU-00214,Ventisol,"Ventisol Smart TV LED 55""",TV e Áudio,33.7,85.7,69.6,43.3,321.0,Ativo
SKU-00215,Makita,Makita Vaso de Vidro Transparente,Decoração,41.46,86.7,78.1,12.3,225.0,Ativo
SKU-00216,Consul,Consul Carregador Portátil 20000mAh,Eletrônicos,26.27,86.7,55.6,53.8,151.0,Ativo
SKU-00217,Philco,Philco Smartphone 128GB 6GB RAM,Celulares e Acessórios,2.48,,,,402.0,Inativo
SKU-00218,HP,"HP Chave de Fenda Phillips 6""",Ferramentas,31.11,91.7,7.4,49.2,84.0,Ativo
SKU-00219,Mallory,Ventilador de Mesa 40cm,Climatização,23.04,85.1,57.0,4.7,445.0,Ativo
SKU-00220,Black+Decker,Black+Decker Pen Drive 64GB USB 3.0,Eletrônicos,39.11,56.0,21.9,38.8,494.0,Ativo
SKU-00221,Positivo,Fogão 5 Bocas Inox,Cozinha,43.4,25.4,56.2,12.8,411.0,Ativo
SKU-00222,Bosch,Bosch Cabo HDMI 2.0 2m,Informática,5.94,34.3,29.8,43.2,63.0,Ativo
SKU-00223,Carrier,Carrier HD Externo 1TB USB 3.0,Eletrônicos,29.82,70.9,31.9,47.5,55.0,Ativo
SKU-00224,Genius,Genius Serra Mármore 1400W,Ferramentas,24.48,45.2,71.3,40.5,452.0,Ativo
SKU-00225,Fortrek,Fortrek Aparador de Entrada 90cm,Informática,37.08,6.0,55.2,27.8,325.0,Ativo
SKU-00226,Stanley,Sanduicheira Grill 750W,Cozinha,35.85,34.5,59.3,3.4,23.0,Inativo
SKU-00227,HyperX,Leitor de Cartão SD USB 3.0,Eletrônicos,13.41,41.8,11.2,7.6,454.0,Descontinuado
SKU-00228,Arno,Arno Aquecedor a Óleo 7 Aletas,Climatização,28.37,83.8,67.7,13.9,0.0,Ativo
